NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal,code_postal_trouve
2471,,Rue de Toulon,Rue,de,Toulon,2471 RUE DE TOULON,,J7L 1A7
2400,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,2400 CH DE LA CABANE-RONDE,,J7K 1P2
745,A,Avenue Crépeau,Avenue,,Crépeau,745 AV CREPEAU,,J7K 1Y4
2027,,Rue de Brompton,Rue,de,Brompton,2027 RUE DE BROMPTON,,J7L 1V7
2593,,Avenue Prévert,Avenue,,Prévert,2593 AV PREVERT,,J7K 3T7
2692,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2692 CH STE-MARIE,,J7K 2L8
1121,,Rue Dufort,Rue,,Dufort,1121 RUE DUFORT,,J7K 2L8
2781,,Rue Chauvette,Rue,,Chauvette,2781 RUE CHAUVETTE,,J7K 2L8
805,,Rue Beaudoin,Rue,,Beaudoin,805 RUE BEAUDOIN,,J7K 1Y4
2932,,Rue Demers,Rue,,Demers,2932 RUE DEMERS,,J7K 3G1
1417,,Rue de Cherbourg,Rue,de,Cherbourg,1417 RUE DE CHERBOURG,,J7K 2L8
2577,,Rue Rousseau,Rue,,Rousseau,2577 RUE ROUSSEAU,,J7K 3T7
1034,,Rue Barott,Rue,,Barott,1034 RUE BAROTT,,J7L 1V7
2563,,Rue de Versailles,Rue,de,Versailles,2563 RUE DE VERSAILLES,,J7K 0T4
420,,Croissant de Bourguignon,Croissant,de,Bourguignon,420 CROISSANT DE BOURGUIGNON,,J7K 0T4
1862,,Avenue de la Gare,Avenue,de la,Gare,1862 AV DE LA GARE,,J7K 0Y4
2715,,Rue de Bordeaux,Rue,de,Bordeaux,2715 RUE DE BORDEAUX,,J7K 2L8
1030,,Rue des Fontaines,Rue,des,Fontaines,1030 RUE DES FONTAINES,,J7K 0T4
2201,,Boulevard de Mascouche,Boulevard,de,Mascouche,2201 BOUL DE MASCOUCHE,,J7L 1A7
2942,,Avenue de la Gare,Avenue,de la,Gare,2942 AV DE LA GARE,,J7K 0Y4
1423,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1423 RUE DE COTE-D'IVOIRE,,J6X 4H3
3353,,Rue De Musset,Rue,,De Musset,3353 RUE DE MUSSET,,J7K 1P2
706,,Rue des Érables,Rue,des,Érables,706 RUE DES ERABLES,,J7L 1V7
2861,,Avenue Marie-Victorin,Avenue,,Marie-Victorin,2861 AV MARIE-VICTORIN,,J7K 2L8
955,,Rue de Greenwich,Rue,de,Greenwich,955 RUE DE GREENWICH,,J7L 1V7
3428,,Rue de Viau,Rue,de,Viau,3428 RUE DE VIAU,,J7K 1P2
322,,Rue Dalpé,Rue,,Dalpé,322 RUE DALPE,,J7K 0K9
3021,,Rue Jeannotte,Rue,,Jeannotte,3021 RUE JEANNOTTE,,J7K 1P2
2381,,Rue de Bayonne,Rue,de,Bayonne,2381 RUE DE BAYONNE,,J7L 1A7
1223,,Rue Suzanne,Rue,,Suzanne,1223 RUE SUZANNE,,J6X 4J8
446,,Rue de Margaux,Rue,de,Margaux,446 RUE DE MARGAUX,,J7K 0T4
3600,,Avenue de la Gare,Avenue,de la,Gare,3600 AV DE LA GARE,,J7K 0K9
532,,Rue du Grand-Héron,Rue,du,Grand-Héron,532 RUE DU GRAND-HERON,,J7K 2L5
940,,Rue George-Sand,Rue,,George-Sand,940 RUE GEORGE-SAND,,J7L 1A7
317,,Chemin des Anglais,Chemin,des,Anglais,317 CH DES ANGLAIS,,J6X 4H2
676,,Avenue Crépeau,Avenue,,Crépeau,676 AV CREPEAU,,J7K 1Y4
2167,,Place Glen Abbey,Place,,Glen Abbey,2167 PLACE GLEN ABBEY,,J7L 1A7
963,,Rue de l'Amour,Rue,de l',Amour,963 RUE DE L'AMOUR,,J7K 1P2
1077,,Rue Lamartine,Rue,,Lamartine,1077 RUE LAMARTINE,,J7K 3T7
1177,,Avenue de Normandie,Avenue,de,Normandie,1177 AV DE NORMANDIE,,J7L 1V7
1323,,Rue des Laurentides,Rue,des,Laurentides,1323 RUE DES LAURENTIDES,,J6X 4J8
903,,Avenue De Maupassant,Avenue,,De Maupassant,903 AV DE MAUPASSANT,,J7K 3T7
1818,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,1818 CH DE LA CABANE-RONDE,,J7K 1P2
91,,Rue Sunny Side,Rue,,Sunny Side,91 RUE SUNNY SIDE,,J6X 4H3
785,,Avenue Crépeau,Avenue,,Crépeau,785 AV CREPEAU,,J7K 1Y4
1308,,Rue de Grande-Bretagne,Rue,de,Grande-Bretagne,1308 RUE DE GRANDE-BRETAGNE,,J6X 4J4
428,,Rue Andrassy,Rue,,Andrassy,428 RUE ANDRASSY,,J6X 4J8
1800,,Avenue Saint-Jean,Avenue,,Saint-Jean,1800 AV ST-JEAN,,J7K 2L8
1836,,Montée du Domaine,Montée,du,Domaine,1836 MTEE DU DOMAINE,,J7L 0H4
2710,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus,2710 CROISSANT DES GEAIS-BLEUS,,J7K 2L5
2965,,Rue Demers,Rue,,Demers,2965 RUE DEMERS,,J7K 3G1
2315,,Rue de Versailles,Rue,de,Versailles,2315 RUE DE VERSAILLES,,J7K 0T4
2065,,Rue Brady,Rue,,Brady,2065 RUE BRADY,,J7L 1A7
2667,,Chemin Gascon,Chemin,,Gascon,2667 CH GASCON,,J6X 4J8
1371,,Rue Barott,Rue,,Barott,1371 RUE BAROTT,,J7L 1V7
3356,,Rue Saint-Laurent,Rue,,Saint-Laurent,3356 RUE ST-LAURENT,,J7K 1P2
2921,,Rue de Calais,Rue,de,Calais,2921 RUE DE CALAIS,,J7K 2L8
950,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,950 CH DE LA CABANE-RONDE,,J7K 1P2
2250,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2250 CH STE-MARIE,,J7L 0J5
3359,,Rue de Vanier,Rue,de,Vanier,3359 RUE DE VANIER,,J7K 1P2
271,,Rue Martel,Rue,,Martel,271 RUE MARTEL,,J7L 1V7
2360,,Avenue de Maussac,Avenue,de,Maussac,2360 AV DE MAUSSAC,,J7K 0T4
1141,,Avenue de la Grande-Allée,Avenue,de la,Grande-Allée,1141 AV DE LA GRANDE-ALLEE,,J7L 1V7
2108,,Avenue de la Gare,Avenue,de la,Gare,2108 AV DE LA GARE,,J7K 0M6
2579,,Rue Cantin,Rue,,Cantin,2579 RUE CANTIN,,J7K 2L8
1491,,Croissant Nelligan,Croissant,,Nelligan,1491 CROISSANT NELLIGAN,,J7K 1P2
653,,Rue de Pompadour,Rue,de,Pompadour,653 RUE DE POMPADOUR,,J7K 0T4
2600,,Rue Lafontaine,Rue,,Lafontaine,2600 RUE LAFONTAINE,,J7K 3T7
456,,Rue Andrassy,Rue,,Andrassy,456 RUE ANDRASSY,,J6X 4J8
309,,Place des Pluviers,Place,des,Pluviers,309 PLACE DES PLUVIERS,,J7K 2L6
1425,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1425 CH STE-MARIE,,J7L 1V7
1020,,Rue Barott,Rue,,Barott,1020 RUE BAROTT,,J7L 1V7
469,,Rue Private,Rue,,Private,469 RUE PRIVATE,,J7L 1V7
2993,,Rue Patenaude,Rue,,Patenaude,2993 RUE PATENAUDE,,J7K 1Y4
311,,Rue Jordan,Rue,,Jordan,311 RUE JORDAN,,J7L 1A7
2838,,Croissant des Grives,Croissant,des,Grives,2838 CROISSANT DES GRIVES,,J7K 3B6
357,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,357 RUE DE ST-GABRIEL,,J7L 1A7
2970,,Boulevard de Mascouche,Boulevard,de,Mascouche,2970 BOUL DE MASCOUCHE,,J7K 3T3
741,,Rue de l'Oural,Rue,de l',Oural,741 RUE DE L'OURAL,,J7M 0A1
976,,Rue Le Gardeur,Rue,,Le Gardeur,976 RUE LE GARDEUR,,J7K 1Y4
893,,Rue George-Sand,Rue,,George-Sand,893 RUE GEORGE-SAND,,J7L 1A7
1250,,Rue d'Anjou,Rue,d',Anjou,1250 RUE D'ANJOU,,J7K 2L8
3435,,Avenue de Charlevoix,Avenue,de,Charlevoix,3435 AV DE CHARLEVOIX,,J7K 1P2
434,,Rue Caron,Rue,,Caron,434 RUE CARON,,J7K 2L6
2913,,Rue de Calais,Rue,de,Calais,2913 RUE DE CALAIS,,J7K 2L8
1494,,Avenue Louise,Avenue,,Louise,1494 AV LOUISE,,J6X 4J4
444,,Rue Caron,Rue,,Caron,444 RUE CARON,,J7K 2L6
838,,Rue Viola,Rue,,Viola,838 RUE VIOLA,,J7L 1V7
2496,,Rue du Mans,Rue,du,Mans,2496 RUE DU MANS,,J7K 2L8
1052,,Rue de Berthier,Rue,de,Berthier,1052 RUE DE BERTHIER,,J7K 1P2
2862,,Croissant des Orioles,Croissant,des,Orioles,2862 CROISSANT DES ORIOLES,,J7K 3B6
1485,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1485 CH DE LA COTE-GEORGES,,J7L 1A7
2880,,Place Marie-Victorin,Place,,Marie-Victorin,2880 PLACE MARIE-VICTORIN,,NON TROUVÉ
544,,Rue du Grand-Héron,Rue,du,Grand-Héron,544 RUE DU GRAND-HERON,,J7K 2L5
1350,,Rue Barott,Rue,,Barott,1350 RUE BAROTT,,J7L 1V7
2294,,Rue Bélanger,Rue,,Bélanger,2294 RUE BELANGER,,J7L 1A7
1318,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1318 CH STE-MARIE,,J7L 1V7
3031,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,3031 CH STE-MARIE,,J7K 1P2
1611,,Rue Barott,Rue,,Barott,1611 RUE BAROTT,,J7L 1V7
1082,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1082 AV DE CHATEAUBRIANT,,J7L 1A7
354,,Place Sullivan,Place,,Sullivan,354 PLACE SULLIVAN,,J7L 1V7
1158,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1158 AV DE CHATEAUBRIANT,,J7L 1A7
1136,,Chemin Pincourt,Chemin,,Pincourt,1136 CH PINCOURT,,J7L 1V7
604,,Rue Chauveau,Rue,,Chauveau,604 RUE CHAUVEAU,,J7K 2L5
2706,,Croissant des Grives,Croissant,des,Grives,2706 CROISSANT DES GRIVES,,J7K 3B6
2709,,Rue des Chardonnerets,Rue,des,Chardonnerets,2709 RUE DES CHARDONNERETS,,J7K 2L5
370,,Rue des Parterres,Rue,des,Parterres,370 RUE DES PARTERRES,,J7K 0T4
2625,,Rue Cantin,Rue,,Cantin,2625 RUE CANTIN,,J7K 2L8
2833,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,2833 CH ST-PHILIPPE,,J7K 2L8
2121,,Avenue Pierre,Avenue,,Pierre,2121 AV PIERRE,,J7L 1A7
556,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs,556 RUE DES MARTINS-PECHEURS,,J7K 2L5
1445,,Avenue Louise,Avenue,,Louise,1445 AV LOUISE,,J6X 4J4
1294,,Rue Lionel-Groulx,Rue,,Lionel-Groulx,1294 RUE LIONEL-GROULX,,J7K 2L8
1288,,Rue Lionel-Groulx,Rue,,Lionel-Groulx,1288 RUE LIONEL-GROULX,,J7K 2L8
1448,,Croissant Lemelin,Croissant,,Lemelin,1448 CROISSANT LEMELIN,,J7K 1P2
698,,Rue Turenne,Rue,,Turenne,698 RUE TURENNE,,J7K 1Y4
2239,,Rue de Davignac,Rue,de,Davignac,2239 RUE DE DAVIGNAC,,J7K 0T4
1571,,Rue Barott,Rue,,Barott,1571 RUE BAROTT,,J7L 1V7
1169,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1169 CH STE-MARIE,,J7L 1V7
1157,,Chemin des Anglais,Chemin,des,Anglais,1157 CH DES ANGLAIS,,J7L 1V7
1890,,Rue Barott,Rue,,Barott,1890 RUE BAROTT,,J7L 1V7
837,,Rue Beaudoin,Rue,,Beaudoin,837 RUE BEAUDOIN,,J7K 1Y4
527,,Rue Andrassy,Rue,,Andrassy,527 RUE ANDRASSY,,J6X 4J8
1995,,Rue Pigeon,Rue,,Pigeon,1995 RUE PIGEON,,J6X 2Z8
1001,,Avenue de Charny,Avenue,de,Charny,1001 AV DE CHARNY,,J7K 3T7
2784,,Rue Gouin,Rue,,Gouin,2784 RUE GOUIN,,J7K 3G1
332,,Place Corbeil,Place,,Corbeil,332 PLACE CORBEIL,,J7K 0K9
2051,,4e Avenue,Avenue,,4e,2051 4E AV,,J7L 1A7
360,,Rue Martel,Rue,,Martel,360 RUE MARTEL,,J7L 1V7
1646,,Avenue Rawlinson,Avenue,,Rawlinson,1646 AV RAWLINSON,,J7L 1V7
665,,Avenue Crépeau,Avenue,,Crépeau,665 AV CREPEAU,,J7K 1Y4
1313,,Rue d'Orléans,Rue,d',Orléans,1313 RUE D'ORLEANS,,J7L 1A7
459,,Place des Pluviers,Place,des,Pluviers,459 PLACE DES PLUVIERS,,J7K 2L6
2532,,Avenue de Maussac,Avenue,de,Maussac,2532 AV DE MAUSSAC,,J7K 0T4
1918,,Avenue de la Gare,Avenue,de la,Gare,1918 AV DE LA GARE,,J7K 0Y4
3307,,Rue de Gaspé,Rue,de,Gaspé,3307 RUE DE GASPE,,J7K 1P2
2586,,Rue Cantin,Rue,,Cantin,2586 RUE CANTIN,,J7K 2L8
2418,,Croissant d'Auteuil,Croissant,d',Auteuil,2418 CROISSANT D'AUTEUIL,,J7L 1A7
933,,Rue des Épinettes,Rue,des,Épinettes,933 RUE DES EPINETTES,,J7L 1V7
2987,,Avenue Bourque,Avenue,,Bourque,2987 AV BOURQUE,,J7K 3B6
200,,Rue des Bosquets,Rue,des,Bosquets,200 RUE DES BOSQUETS,,J7K 0T4
943,,Rue Sauvé,Rue,,Sauvé,943 RUE SAUVE,,J7K 1P2
2613,,Rue Daudet,Rue,,Daudet,2613 RUE DAUDET,,J7K 3T7
2200,,Avenue de la Gare,Avenue,de la,Gare,2200 AV DE LA GARE,,J7K 0Y4
2595,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2595 CH STE-MARIE,,J7K 2L8
3051,,Rue Lévesque,Rue,,Lévesque,3051 RUE LEVESQUE,,J7K 1P2
4575,,Chemin Gascon,Chemin,,Gascon,4575 CH GASCON,,J6X 4J8
635,,Croissant de Landreville,Croissant,de,Landreville,635 CROISSANT DE LANDREVILLE,,J7K 0T4
943,,Rue des Cerisiers,Rue,des,Cerisiers,943 RUE DES CERISIERS,,J7L 1V7
966,,Rue des Glaïeuls,Rue,des,Glaïeuls,966 RUE DES GLAIEULS,,J7L 1V7
997,,Rue Lapointe,Rue,,Lapointe,997 RUE LAPOINTE,,J7K 3T7
360,,Croissant du Trianon,Croissant,du,Trianon,360 CROISSANT DU TRIANON,,J7K 0T4
422,,Rue des Busards,Rue,des,Busards,422 RUE DES BUSARDS,,J7K 0T4
1138,,Rue d'Auvergne,Rue,d',Auvergne,1138 RUE D'AUVERGNE,,J7L 1V7
796,,Rue Mercier,Rue,,Mercier,796 RUE MERCIER,,J7K 3G1
1538,,Rue Center,Rue,,Center,1538 RUE CENTER,,J6X 4H3
436,,Rue Andrassy,Rue,,Andrassy,436 RUE ANDRASSY,,J6X 4J8
2179,,Avenue de la Gare,Avenue,de la,Gare,2179 AV DE LA GARE,,J7K 0Y4
1510,,Rue Grignon,Rue,,Grignon,1510 RUE GRIGNON,,J7K 1P2
2343,,Boulevard de Mascouche,Boulevard,de,Mascouche,2343 BOUL DE MASCOUCHE,,J7L 1A7
733,,Chemin des Anglais,Chemin,des,Anglais,733 CH DES ANGLAIS,,J7L 1V7
385,,Croissant du Trianon,Croissant,du,Trianon,385 CROISSANT DU TRIANON,,J7K 0T4
4587,,Chemin Gascon,Chemin,,Gascon,4587 CH GASCON,,J6X 4J8
2550,,Rue des Faucons,Rue,des,Faucons,2550 RUE DES FAUCONS,,J7K 0T4
1380,,Avenue de Chambéry,Avenue,de,Chambéry,1380 AV DE CHAMBERY,,J7K 2L8
661,,Avenue Crépeau,Avenue,,Crépeau,661 AV CREPEAU,,J7K 1Y4
1160,,Avenue Louise,Avenue,,Louise,1160 AV LOUISE,,J6X 4J4
2210,,Rue de Davignac,Rue,de,Davignac,2210 RUE DE DAVIGNAC,,J7K 0T4
1414,,Rue de Cherbourg,Rue,de,Cherbourg,1414 RUE DE CHERBOURG,,J7K 2L8
321,,Place des Pluviers,Place,des,Pluviers,321 PLACE DES PLUVIERS,,J7K 2L6
304,,Croissant de Castelnaud,Croissant,de,Castelnaud,304 CROISSANT DE CASTELNAUD,,J7K 0T4
263,,Place des Pluviers,Place,des,Pluviers,263 PLACE DES PLUVIERS,,J7K 2L6
27,,Avenue Napoléon,Avenue,,Napoléon,27 AV NAPOLEON,,J6X 4J8
2680,,Croissant des Grives,Croissant,des,Grives,2680 CROISSANT DES GRIVES,,J7K 3B6
2700,,Place des Sittelles,Place,des,Sittelles,2700 PLACE DES SITTELLES,,J7K 0T4
2766,,Croissant des Roitelets,Croissant,des,Roitelets,2766 CROISSANT DES ROITELETS,,J7K 2L5
2785,,Rue de Bordeaux,Rue,de,Bordeaux,2785 RUE DE BORDEAUX,,J7K 2L8
2078,,6e Avenue,Avenue,,6e,2078 6E AV,,J7L 1A7
915,,Rue des Saules,Rue,des,Saules,915 RUE DES SAULES,,J7L 1V7
